,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
205,YIO CHU KANG SECONDARY SCHOOL,1.37797597740928,103.84213696351999,No,No,No,No
206,YUAN CHING SECONDARY SCHOOL,1.3420063576446999,103.72089870437,No,No,No,No
207,BOON LAY SECONDARY SCHOOL,1.34272269102177,103.701890026285,No,No,No,No
208,BEDOK VIEW SECONDARY SCHOOL,1.3241570405706202,103.943776244752,No,No,No,No
209,HUA YI SECONDARY SCHOOL,1.35234365488343,103.721832319897,No,No,No,No
210,DEYI SECONDARY SCHOOL,1.36599702512975,103.85254577133499,No,No,No,No
211,PING YI SECONDARY SCHOOL,1.327016727265,103.920700671715,No,No,No,No
212,PEICAI SECONDARY SCHOOL,1.35951583249591,103.870010748511,No,No,No,No
213,PASIR RIS SECONDARY SCHOOL,1.35422732653399,103.948962626204,No,No,No,No
214,GUANGYANG SECONDARY SCHOOL,1.3444085601554099,103.85020893389799,No,No,No,No
215,RIVERSIDE SECONDARY SCHOOL,1.44110157139128,103.78830823640999,No,No,No,No
216,ZHONGHUA SECONDARY SCHOOL,1.3484072084621102,103.869430481414,No,Yes,No,No
217,SWISS COTTAGE SECONDARY SCHOOL,1.3647174269747901,103.75039613668801,No,No,No,No
218,YUSOF ISHAK SECONDARY SCHOOL,1.34233921440626,103.760032628302,No,No,No,No
219,CHANGKAT CHANGI SECONDARY SCHOOL,1.33950630072878,103.953245525564,No,No,No,No
220,TECK WHYE SECONDARY SCHOOL,1.3830891794707,103.755330021114,No,No,No,No
221,DUNEARN SECONDARY SCHOOL,1.36357900792873,103.74472109107,No,No,No,No
222,NEW TOWN SECONDARY SCHOOL,1.3097759001136102,103.77318863421,No,No,No,No
223,QUEENSTOWN SECONDARY SCHOOL,1.29352126774655,103.81319098005501,No,No,No,No
224,SERANGOON GARDEN SECONDARY SCHOOL,1.3693257049094998,103.869270301748,No,No,No,No
225,TANGLIN SECONDARY SCHOOL,1.30970169234126,103.75815835830299,No,No,No,No
226,TANJONG KATONG SECONDARY SCHOOL,1.3087351581847702,103.89722519592699,No,Yes,No,No
227,WOODLANDS RING SECONDARY SCHOOL,1.43648894729943,103.800148469692,No,No,No,No
228,ORCHID PARK SECONDARY SCHOOL,1.4153203280700999,103.837859241343,No,No,No,No
229,SEMBAWANG SECONDARY SCHOOL,1.4453150213138997,103.81684325839001,No,No,No,No
230,SENG KANG SECONDARY SCHOOL,1.38659683143748,103.89836503670901,No,No,No,No
231,JUNYUAN SECONDARY SCHOOL,1.3536131526353898,103.93388616582399,No,No,No,No
232,EAST SPRING SECONDARY SCHOOL,1.3562250904733,103.96064070002599,No,No,No,No
233,UNITY SECONDARY SCHOOL,1.40002893292858,103.746025843729,No,No,No,No
234,NORTHBROOKS SECONDARY SCHOOL,1.42081285020657,103.845147332528,No,No,No,No
235,PASIR RIS CREST SECONDARY SCHOOL,1.37284060102249,103.95972820291901,No,No,No,No
236,FUHUA SECONDARY SCHOOL,1.3470140891376001,103.72652089831999,No,No,No,No
237,MARSILING SECONDARY SCHOOL,1.4366442479733101,103.776008090182,No,No,No,No
238,WOODGROVE SECONDARY SCHOOL,1.42831828137014,103.79604758539,No,No,No,No
239,ZHENGHUA SECONDARY SCHOOL,1.38836870373382,103.76552155794,No,No,No,No
240,REGENT SECONDARY SCHOOL,1.3932790833568502,103.751034411529,No,No,No,No
241,KENT RIDGE SECONDARY SCHOOL,1.301227734261,103.764889617566,No,No,No,No
242,WESTWOOD SECONDARY SCHOOL,1.35373698510995,103.701772102139,No,No,No,No
243,CANBERRA SECONDARY SCHOOL,1.45322492445716,103.814194898113,No,No,No,No
244,COMPASSVALE SECONDARY SCHOOL,1.39614083952012,103.899847164494,No,No,No,No
245,EVERGREEN SECONDARY SCHOOL,1.4414913127373998,103.794137756171,No,No,No,No
246,ANGLO-CHINESE SCHOOL (JUNIOR),1.3093512259955802,103.840955091346,No,No,No,No
247,CHIJ PRIMARY (TOA PAYOH),1.33275264711591,103.841847263786,No,No,No,No
248,CHIJ (KELLOCK),1.27502272296403,103.82815756489599,No,No,No,No
249,CHIJ OUR LADY OF THE NATIVITY,1.37330297194879,103.897575728031,No,No,No,No
250,DE LA SALLE SCHOOL,1.3947078296399298,103.743201812831,No,No,No,No
251,SAINT ANDREW'S JUNIOR SCHOOL,1.33140255308872,103.86511713438499,No,No,No,No
252,SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.33472537301892,103.941234868202,No,No,No,No
253,SAINT GABRIEL'S PRIMARY SCHOOL,1.34947192653863,103.86256103770701,No,No,No,No
254,SAINT MARGARET'S PRIMARY SCHOOL,1.30378845667471,103.846251114072,No,No,No,No
255,SAINT JOSEPH'S INSTITUTION JUNIOR,1.3177286098691698,103.845611935235,No,No,No,No
256,SAINT STEPHEN'S SCHOOL,1.3187899729513701,103.91725812959801,No,No,No,No
257,CHIJ OUR LADY OF GOOD COUNSEL,1.3574295229698998,103.86400939737301,No,No,No,No
258,MONTFORT JUNIOR SCHOOL,1.3738244407598001,103.889307782925,No,No,No,No
259,CHIJ OUR LADY QUEEN OF PEACE,1.3666036685610101,103.767412204602,No,No,No,No
260,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.30054082453427,103.785438270044,No,No,No,No
261,GEYLANG METHODIST SCHOOL (PRIMARY),1.31759126757286,103.883845744916,No,No,No,No
262,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.34978307376409,103.85452924651699,No,No,No,No
263,ST. HILDA'S PRIMARY SCHOOL,1.349711,103.93611700000001,No,No,Yes,No
264,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL (JAN 2018 - DEC 2019),1.3203941615946,103.82994776728,No,No,No,No
